dataset,seed,axis,n_train,n_test,embed_dim,composite_n_cells,acc_baseline,f1_baseline,acc_after_ultimate,f1_after_ultimate,delta_dp,delta_eo,leakage_pre,leakage_post
pokec-z,42,gender,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.905588102748986,0.9050361865698329,0.0021034413267422836,0.013434343254240644,0.8022539468031841,0.5500765397852776
pokec-z,42,region,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.905588102748986,0.9050361865698329,0.021732574303063357,0.02303909354200917,0.5825059003519943,0.5366341269143671
pokec-z,42,age_group,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.905588102748986,0.9050361865698329,0.044809022606599136,0.04051554984458838,0.9973188620789419,0.6324143351124646
pokec-z,42,gender_x_age,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.905588102748986,0.9050361865698329,0.07287868182859919,0.05977398889770025,0.9424465451454708,0.61291836358065
pokec-z,42,gender_x_region,10000,13314,512,12,0.9456962595763858,0.9455238533641985,0.905588102748986,0.9050361865698329,0.03785601510111103,0.05376501998184913,0.7110811258680159,0.540818737122955
