method,axis,n_minority_test,assortativity_r,f1,acc,delta_dp,delta_eo,leakage_auc,cf_score
GraphSAGE,hungarian,454,0.13639756140544268,0.9382251249419122,0.9383355866005708,0.41936615109443665,0.01633840799331665,0.9884167688629153,0.008412197686645636
GraphSAGE+INLP@hungarian,hungarian,454,0.13639756140544268,0.9296783096140215,0.9297731710980922,0.40677064657211304,0.025142312049865723,0.7453824994347805,0.0057082770016523956
GraphSAGE+INLP+DPT@hungarian,hungarian,454,0.13639756140544268,0.9160629032345535,0.9161784587652095,0.0012475848197937012,0.3789476156234741,0.7453824994347805,0.0057082770016523956
GraphSAGE,roma,54,0.03207107162687396,0.9382251249419122,0.9383355866005708,0.44734370708465576,0.04169708490371704,0.8611250768113513,0.0057833859095688745
GraphSAGE+INLP@roma,roma,54,0.03207107162687396,0.9280984943292179,0.9281958840318462,0.42324450612068176,0.026455163955688477,0.7198745880118429,0.007811326423313805
GraphSAGE+INLP+DPT@roma,roma,54,0.03207107162687396,0.9268211227079826,0.926919032597266,0.16270318627357483,0.23449641466140747,0.7198745880118429,0.007811326423313805
