model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE,gender,0.0403,0.0225,0.0036,0.8273
GraphSAGE,region,0.0254,0.0157,0.0037,0.65
GraphSAGE,age_group,0.0181,0.0512,0.0099,0.8933
GraphSAGE,gender_x_age,0.0547,0.0773,0.0149,0.8529
GraphSAGE,gender_x_region,0.0627,0.0398,0.0083,0.7426
GraphSAGE+Resampling,gender,0.0407,0.0225,0.0036,0.8265
GraphSAGE+Resampling,region,0.0258,0.0155,0.0037,0.6508
GraphSAGE+Resampling,age_group,0.0178,0.0521,0.0099,0.8924
GraphSAGE+Resampling,gender_x_age,0.0542,0.0782,0.0149,0.8519
GraphSAGE+Resampling,gender_x_region,0.0641,0.0399,0.0082,0.7424
GraphSAGE+FairDrop,gender,0.0416,0.0241,0.0037,0.8414
GraphSAGE+FairDrop,region,0.0304,0.011,0.0032,0.6307
GraphSAGE+FairDrop,age_group,0.0179,0.056,0.0093,0.8834
GraphSAGE+FairDrop,gender_x_age,0.0623,0.0714,0.0143,0.8509
GraphSAGE+FairDrop,gender_x_region,0.0692,0.0386,0.0077,0.7456
FairGNN(λ=5.0),gender,0.0253,0.0079,0.0029,0.8707
FairGNN(λ=5.0),region,0.0455,0.0155,0.0028,0.6729
FairGNN(λ=5.0),age_group,0.039,0.0136,0.0109,0.8128
FairGNN(λ=5.0),gender_x_age,0.1064,0.0218,0.0464,0.8281
FairGNN(λ=5.0),gender_x_region,0.0669,0.0273,0.0159,0.7779
TabICL,gender,0.0397,0.0308,0.0041,0.8883
TabICL,region,0.0315,0.0102,0.0034,0.6164
TabICL,age_group,0.0237,0.0531,0.008,0.993
TabICL,gender_x_age,0.0599,0.0708,0.0121,0.9378
TabICL,gender_x_region,0.0676,0.0423,0.0087,0.7768
GraphSAGE+EOT@gender,gender,0.0179,0.0004,0.0036,0.8273
GraphSAGE+EOT@gender,region,0.0281,0.0126,0.0037,0.65
GraphSAGE+EOT@gender,age_group,0.0137,0.0553,0.0099,0.8933
GraphSAGE+EOT@gender,gender_x_age,0.0593,0.0579,0.0149,0.8529
GraphSAGE+EOT@gender,gender_x_region,0.0424,0.0166,0.0083,0.7426
TabICL+EOT@gender,gender,0.0118,0.001,0.0041,0.8883
TabICL+EOT@gender,region,0.032,0.0087,0.0034,0.6164
TabICL+EOT@gender,age_group,0.0237,0.0524,0.008,0.993
TabICL+EOT@gender,gender_x_age,0.0607,0.0642,0.0121,0.9378
TabICL+EOT@gender,gender_x_region,0.0431,0.0101,0.0087,0.7768
GraphSAGE+EOT@age_group,gender,0.048,0.0287,0.0036,0.8273
GraphSAGE+EOT@age_group,region,0.024,0.0204,0.0037,0.65
GraphSAGE+EOT@age_group,age_group,0.0275,0.0656,0.0099,0.8933
GraphSAGE+EOT@age_group,gender_x_age,0.0653,0.0836,0.0149,0.8529
GraphSAGE+EOT@age_group,gender_x_region,0.0709,0.0534,0.0083,0.7426
TabICL+EOT@age_group,gender,0.0428,0.0308,0.0041,0.8883
TabICL+EOT@age_group,region,0.023,0.0178,0.0034,0.6164
TabICL+EOT@age_group,age_group,0.0285,0.0596,0.008,0.993
TabICL+EOT@age_group,gender_x_age,0.0653,0.089,0.0121,0.9378
TabICL+EOT@age_group,gender_x_region,0.0631,0.0498,0.0087,0.7768
GraphSAGE+EOT@region,gender,0.0419,0.0225,0.0036,0.8273
GraphSAGE+EOT@region,region,0.0447,0.0003,0.0037,0.65
GraphSAGE+EOT@region,age_group,0.0158,0.0542,0.0099,0.8933
GraphSAGE+EOT@region,gender_x_age,0.0558,0.0769,0.0149,0.8529
GraphSAGE+EOT@region,gender_x_region,0.0821,0.0255,0.0083,0.7426
TabICL+EOT@region,gender,0.0388,0.0324,0.0041,0.8883
TabICL+EOT@region,region,0.0473,0.0089,0.0034,0.6164
TabICL+EOT@region,age_group,0.0223,0.0515,0.008,0.993
TabICL+EOT@region,gender_x_age,0.0602,0.076,0.0121,0.9378
TabICL+EOT@region,gender_x_region,0.0818,0.0419,0.0087,0.7768
GraphSAGE+DPT@gender,gender,0.0018,0.0193,0.0036,0.8273
GraphSAGE+DPT@gender,region,0.0286,0.0123,0.0037,0.65
GraphSAGE+DPT@gender,age_group,0.011,0.0611,0.0099,0.8933
GraphSAGE+DPT@gender,gender_x_age,0.0622,0.0739,0.0149,0.8529
GraphSAGE+DPT@gender,gender_x_region,0.0379,0.0305,0.0083,0.7426
TabICL+DPT@gender,gender,0.0059,0.0245,0.0041,0.8883
TabICL+DPT@gender,region,0.0323,0.0067,0.0034,0.6164
TabICL+DPT@gender,age_group,0.0193,0.0524,0.008,0.993
TabICL+DPT@gender,gender_x_age,0.0686,0.0814,0.0121,0.9378
TabICL+DPT@gender,gender_x_region,0.0475,0.0324,0.0087,0.7768
GraphSAGE+DPT@age_group,gender,0.0492,0.0349,0.0036,0.8273
GraphSAGE+DPT@age_group,region,0.0252,0.0117,0.0037,0.65
GraphSAGE+DPT@age_group,age_group,0.055,0.098,0.0099,0.8933
GraphSAGE+DPT@age_group,gender_x_age,0.0949,0.1201,0.0149,0.8529
GraphSAGE+DPT@age_group,gender_x_region,0.0723,0.0495,0.0083,0.7426
TabICL+DPT@age_group,gender,0.047,0.0349,0.0041,0.8883
TabICL+DPT@age_group,region,0.0205,0.013,0.0034,0.6164
TabICL+DPT@age_group,age_group,0.0638,0.0926,0.008,0.993
TabICL+DPT@age_group,gender_x_age,0.1017,0.1195,0.0121,0.9378
TabICL+DPT@age_group,gender_x_region,0.0659,0.0512,0.0087,0.7768
GraphSAGE+DPT@region,gender,0.0405,0.02,0.0036,0.8273
