model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE+DPT@region,region,0.0133,0.052,0.0037,0.65
GraphSAGE+DPT@region,age_group,0.0258,0.053,0.0099,0.8933
GraphSAGE+DPT@region,gender_x_age,0.061,0.0782,0.0149,0.8529
GraphSAGE+DPT@region,gender_x_region,0.053,0.0751,0.0083,0.7426
TabICL+DPT@region,gender,0.0389,0.029,0.0041,0.8883
TabICL+DPT@region,region,0.0096,0.0542,0.0034,0.6164
TabICL+DPT@region,age_group,0.0256,0.0588,0.008,0.993
TabICL+DPT@region,gender_x_age,0.0617,0.0762,0.0121,0.9378
TabICL+DPT@region,gender_x_region,0.0479,0.0862,0.0087,0.7768
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.0013,0.0085,0.0036,0.8273
GraphSAGE+DPT_composite@gender_age_group_region,region,0.0109,0.0541,0.0037,0.65
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.0348,0.0301,0.0099,0.8933
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.0513,0.0566,0.0149,0.8529
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.0423,0.0985,0.0083,0.7426
TabICL+DPT_composite@gender_age_group_region,gender,0.0061,0.015,0.0041,0.8883
TabICL+DPT_composite@gender_age_group_region,region,0.0102,0.0586,0.0034,0.6164
TabICL+DPT_composite@gender_age_group_region,age_group,0.05,0.015,0.008,0.993
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.0931,0.0622,0.0121,0.9378
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0395,0.1101,0.0087,0.7768
GraphSAGE+INLP@gender,gender,0.0398,0.0247,0.0044,0.5506
GraphSAGE+INLP@gender,region,0.0308,0.0092,0.0033,0.6483
GraphSAGE+INLP@gender,age_group,0.0165,0.0457,0.0093,0.8883
GraphSAGE+INLP@gender,gender_x_age,0.0543,0.0714,0.0165,0.7937
GraphSAGE+INLP@gender,gender_x_region,0.0672,0.0369,0.0087,0.5975
TabICL+INLP@gender,gender,0.0325,0.0222,0.0045,0.7511
TabICL+INLP@gender,region,0.0329,0.0029,0.0035,0.6165
TabICL+INLP@gender,age_group,0.0201,0.0514,0.0092,0.9915
TabICL+INLP@gender,gender_x_age,0.0597,0.0732,0.0136,0.9057
TabICL+INLP@gender,gender_x_region,0.0622,0.0249,0.0092,0.6814
GraphSAGE+INLP@age_group,gender,0.0402,0.0212,0.0043,0.8076
GraphSAGE+INLP@age_group,region,0.0308,0.008,0.0035,0.6324
GraphSAGE+INLP@age_group,age_group,0.0061,0.0436,0.0091,0.5167
GraphSAGE+INLP@age_group,gender_x_age,0.0524,0.0646,0.017,0.666
GraphSAGE+INLP@age_group,gender_x_region,0.0677,0.0311,0.0088,0.7258
TabICL+INLP@age_group,gender,0.0428,0.0299,0.0046,0.87
TabICL+INLP@age_group,region,0.03,0.0108,0.004,0.6042
TabICL+INLP@age_group,age_group,0.0258,0.0505,0.0104,0.515
TabICL+INLP@age_group,gender_x_age,0.0747,0.0787,0.0161,0.7174
TabICL+INLP@age_group,gender_x_region,0.0704,0.0429,0.0094,0.7644
GraphSAGE+INLP@region,gender,0.0381,0.0209,0.0044,0.8212
GraphSAGE+INLP@region,region,0.031,0.0097,0.0032,0.5183
GraphSAGE+INLP@region,age_group,0.0161,0.042,0.0092,0.8725
GraphSAGE+INLP@region,gender_x_age,0.0505,0.0664,0.0166,0.8376
GraphSAGE+INLP@region,gender_x_region,0.0644,0.0326,0.0085,0.7159
TabICL+INLP@region,gender,0.0335,0.0178,0.004,0.8882
TabICL+INLP@region,region,0.0292,0.009,0.0041,0.5332
TabICL+INLP@region,age_group,0.0244,0.0496,0.0096,0.9919
TabICL+INLP@region,gender_x_age,0.0623,0.0679,0.0142,0.9374
TabICL+INLP@region,gender_x_region,0.0585,0.0279,0.0095,0.7653
GraphSAGE+INLP+DPT@gender,gender,0.0007,0.0134,0.0044,0.5506
GraphSAGE+INLP+DPT@gender,region,0.0305,0.0095,0.0033,0.6483
GraphSAGE+INLP+DPT@gender,age_group,0.0115,0.0487,0.0093,0.8883
GraphSAGE+INLP+DPT@gender,gender_x_age,0.0607,0.0582,0.0165,0.7937
GraphSAGE+INLP+DPT@gender,gender_x_region,0.0374,0.0216,0.0087,0.5975
TabICL+INLP+DPT@gender,gender,0.0041,0.0183,0.0045,0.7511
TabICL+INLP+DPT@gender,region,0.0316,0.0046,0.0035,0.6165
TabICL+INLP+DPT@gender,age_group,0.0203,0.0462,0.0092,0.9915
TabICL+INLP+DPT@gender,gender_x_age,0.0594,0.0696,0.0136,0.9057
TabICL+INLP+DPT@gender,gender_x_region,0.0401,0.0225,0.0092,0.6814
GraphSAGE+INLP+DPT@age_group,gender,0.0481,0.0302,0.0043,0.8076
GraphSAGE+INLP+DPT@age_group,region,0.0309,0.0018,0.0035,0.6324
GraphSAGE+INLP+DPT@age_group,age_group,0.0507,0.0847,0.0091,0.5167
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.0925,0.1054,0.017,0.666
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.0778,0.0441,0.0088,0.7258
TabICL+INLP+DPT@age_group,gender,0.0521,0.0417,0.0046,0.87
TabICL+INLP+DPT@age_group,region,0.0244,0.0143,0.004,0.6042
TabICL+INLP+DPT@age_group,age_group,0.0609,0.0833,0.0104,0.515
TabICL+INLP+DPT@age_group,gender_x_age,0.1037,0.1147,0.0161,0.7174
TabICL+INLP+DPT@age_group,gender_x_region,0.0748,0.0585,0.0094,0.7644
GraphSAGE+INLP+DPT@region,gender,0.0395,0.0212,0.0044,0.8212
GraphSAGE+INLP+DPT@region,region,0.0057,0.0429,0.0032,0.5183
GraphSAGE+INLP+DPT@region,age_group,0.0188,0.043,0.0092,0.8725
GraphSAGE+INLP+DPT@region,gender_x_age,0.0557,0.0682,0.0166,0.8376
GraphSAGE+INLP+DPT@region,gender_x_region,0.0437,0.0672,0.0085,0.7159
TabICL+INLP+DPT@region,gender,0.032,0.0195,0.004,0.8882
TabICL+INLP+DPT@region,region,0.0115,0.0525,0.0041,0.5332
TabICL+INLP+DPT@region,age_group,0.0278,0.0496,0.0096,0.9919
TabICL+INLP+DPT@region,gender_x_age,0.0616,0.0658,0.0142,0.9374
TabICL+INLP+DPT@region,gender_x_region,0.043,0.0774,0.0095,0.7653
GraphSAGE+INLP+DPT_composite,gender,0.0028,0.0108,0.0049,0.5005
GraphSAGE+INLP+DPT_composite,region,0.0098,0.0331,0.0195,0.4961
GraphSAGE+INLP+DPT_composite,age_group,0.04,0.0245,0.028,0.496
GraphSAGE+INLP+DPT_composite,gender_x_age,0.0727,0.0463,0.036,0.4999
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0197,0.0424,0.0242,0.4979
TabICL+INLP+DPT_composite,gender,0.0019,0.0139,0.0027,0.5037
TabICL+INLP+DPT_composite,region,0.005,0.0425,0.013,0.5007
TabICL+INLP+DPT_composite,age_group,0.0345,0.0315,0.0329,0.4966
TabICL+INLP+DPT_composite,gender_x_age,0.0801,0.0535,0.0482,0.4861
TabICL+INLP+DPT_composite,gender_x_region,0.0209,0.0745,0.0213,0.4979
GraphSAGE+Reweighted@gender,gender,0.0358,0.0181,0.0036,0.8257
GraphSAGE+Reweighted@gender,region,0.0254,0.0149,0.0036,0.6503
GraphSAGE+Reweighted@gender,age_group,0.0168,0.0519,0.0098,0.8928
GraphSAGE+Reweighted@gender,gender_x_age,0.0536,0.0755,0.0149,0.8518
GraphSAGE+Reweighted@gender,gender_x_region,0.0593,0.0356,0.0082,0.7417
GraphSAGE+Reweighted@age_group,gender,0.0403,0.0218,0.0036,0.8274
GraphSAGE+Reweighted@age_group,region,0.0276,0.0142,0.0036,0.6506
GraphSAGE+Reweighted@age_group,age_group,0.0173,0.048,0.0101,0.8897
GraphSAGE+Reweighted@age_group,gender_x_age,0.0586,0.0742,0.0151,0.8495
GraphSAGE+Reweighted@age_group,gender_x_region,0.0651,0.0381,0.008,0.7432
GraphSAGE+Reweighted@region,gender,0.0401,0.0212,0.0036,0.8272
GraphSAGE+Reweighted@region,region,0.025,0.0161,0.0036,0.6521
GraphSAGE+Reweighted@region,age_group,0.0191,0.0526,0.0099,0.8929
GraphSAGE+Reweighted@region,gender_x_age,0.0536,0.0778,0.0149,0.8526
GraphSAGE+Reweighted@region,gender_x_region,0.0623,0.0384,0.0081,0.743
