model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE+DPT@region,gender,0.0335,0.0156,0.0043,0.8232
GraphSAGE+DPT@region,region,0.028,0.0611,0.0034,0.6381
GraphSAGE+DPT@region,age_group,0.0436,0.023,0.0067,0.8991
GraphSAGE+DPT@region,gender_x_age,0.0662,0.0374,0.012,0.8591
GraphSAGE+DPT@region,gender_x_region,0.0581,0.0753,0.0078,0.7374
TabICL+DPT@region,gender,0.0397,0.0255,0.0044,0.8872
TabICL+DPT@region,region,0.028,0.0658,0.0028,0.6212
TabICL+DPT@region,age_group,0.032,0.0247,0.0066,0.994
TabICL+DPT@region,gender_x_age,0.0625,0.0447,0.0111,0.9354
TabICL+DPT@region,gender_x_region,0.0651,0.0939,0.0079,0.7759
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.0031,0.0167,0.0043,0.8232
GraphSAGE+DPT_composite@gender_age_group_region,region,0.0255,0.0587,0.0034,0.6381
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.0136,0.0216,0.0067,0.8991
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.0601,0.0382,0.012,0.8591
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.0284,0.0715,0.0078,0.7374
TabICL+DPT_composite@gender_age_group_region,gender,0.0075,0.0265,0.0044,0.8872
TabICL+DPT_composite@gender_age_group_region,region,0.0205,0.058,0.0028,0.6212
TabICL+DPT_composite@gender_age_group_region,age_group,0.0097,0.028,0.0066,0.994
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.0712,0.0579,0.0111,0.9354
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0266,0.0781,0.0079,0.7759
GraphSAGE+INLP@gender,gender,0.0309,0.0143,0.0051,0.5511
GraphSAGE+INLP@gender,region,0.0351,0.0014,0.0033,0.6382
GraphSAGE+INLP@gender,age_group,0.0326,0.0343,0.0057,0.8973
GraphSAGE+INLP@gender,gender_x_age,0.0549,0.0556,0.0126,0.8025
GraphSAGE+INLP@gender,gender_x_region,0.0593,0.0152,0.0087,0.5921
TabICL+INLP@gender,gender,0.0324,0.0171,0.0049,0.7288
TabICL+INLP@gender,region,0.0333,0.0013,0.003,0.6212
TabICL+INLP@gender,age_group,0.0248,0.0389,0.0066,0.9912
TabICL+INLP@gender,gender_x_age,0.0496,0.0536,0.0126,0.8974
TabICL+INLP@gender,gender_x_region,0.0588,0.0195,0.0086,0.6647
GraphSAGE+INLP@age_group,gender,0.0327,0.0154,0.005,0.8045
GraphSAGE+INLP@age_group,region,0.0349,0.0023,0.0034,0.6283
GraphSAGE+INLP@age_group,age_group,0.0268,0.0334,0.0076,0.5183
GraphSAGE+INLP@age_group,gender_x_age,0.0663,0.0448,0.0143,0.6644
GraphSAGE+INLP@age_group,gender_x_region,0.0593,0.0179,0.0088,0.7209
TabICL+INLP@age_group,gender,0.0349,0.0181,0.0045,0.8747
TabICL+INLP@age_group,region,0.0341,0.0047,0.0037,0.6159
TabICL+INLP@age_group,age_group,0.0331,0.0347,0.0078,0.5474
TabICL+INLP@age_group,gender_x_age,0.0605,0.0489,0.0141,0.7272
TabICL+INLP@age_group,gender_x_region,0.0608,0.0212,0.0085,0.7657
GraphSAGE+INLP@region,gender,0.0323,0.0159,0.0052,0.8201
GraphSAGE+INLP@region,region,0.0338,0.0031,0.0033,0.5195
GraphSAGE+INLP@region,age_group,0.0312,0.0329,0.0053,0.8696
GraphSAGE+INLP@region,gender_x_age,0.0554,0.0542,0.0126,0.8401
GraphSAGE+INLP@region,gender_x_region,0.0586,0.0188,0.0089,0.7161
TabICL+INLP@region,gender,0.0358,0.0206,0.0046,0.8858
TabICL+INLP@region,region,0.0257,0.0092,0.0042,0.5476
TabICL+INLP@region,age_group,0.0293,0.0347,0.0078,0.9911
TabICL+INLP@region,gender_x_age,0.0516,0.0475,0.0132,0.9345
TabICL+INLP@region,gender_x_region,0.0552,0.0327,0.0097,0.7632
GraphSAGE+INLP+DPT@gender,gender,0.0027,0.0175,0.0051,0.5511
GraphSAGE+INLP+DPT@gender,region,0.0358,0.0019,0.0033,0.6382
GraphSAGE+INLP+DPT@gender,age_group,0.0381,0.0282,0.0057,0.8973
GraphSAGE+INLP+DPT@gender,gender_x_age,0.0736,0.0454,0.0126,0.8025
GraphSAGE+INLP+DPT@gender,gender_x_region,0.0485,0.0191,0.0087,0.5921
TabICL+INLP+DPT@gender,gender,0.0079,0.0291,0.0049,0.7288
TabICL+INLP+DPT@gender,region,0.0308,0.0005,0.003,0.6212
TabICL+INLP+DPT@gender,age_group,0.0269,0.0312,0.0066,0.9912
TabICL+INLP+DPT@gender,gender_x_age,0.068,0.054,0.0126,0.8974
TabICL+INLP+DPT@gender,gender_x_region,0.0462,0.0299,0.0086,0.6647
GraphSAGE+INLP+DPT@age_group,gender,0.0361,0.0202,0.005,0.8045
GraphSAGE+INLP+DPT@age_group,region,0.0301,0.0001,0.0034,0.6283
GraphSAGE+INLP+DPT@age_group,age_group,0.0183,0.0591,0.0076,0.5183
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.0677,0.0708,0.0143,0.6644
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.0584,0.0223,0.0088,0.7209
TabICL+INLP+DPT@age_group,gender,0.0325,0.0163,0.0045,0.8747
TabICL+INLP+DPT@age_group,region,0.0356,0.0038,0.0037,0.6159
TabICL+INLP+DPT@age_group,age_group,0.0191,0.0599,0.0078,0.5474
TabICL+INLP+DPT@age_group,gender_x_age,0.0604,0.0706,0.0141,0.7272
