model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE,gender,0.0382,0.0245,0.0048,0.8182
GraphSAGE,region,0.0417,0.0023,0.0012,0.6401
GraphSAGE,age_group,0.0335,0.0428,0.0073,0.8935
GraphSAGE,gender_x_age,0.0533,0.0652,0.0135,0.8479
GraphSAGE,gender_x_region,0.074,0.0293,0.0056,0.7335
GraphSAGE+Resampling,gender,0.038,0.0203,0.0045,0.8231
GraphSAGE+Resampling,region,0.0451,0.0037,0.0013,0.6441
GraphSAGE+Resampling,age_group,0.0314,0.0401,0.0073,0.8953
GraphSAGE+Resampling,gender_x_age,0.0564,0.0603,0.0135,0.8512
GraphSAGE+Resampling,gender_x_region,0.0766,0.0261,0.0055,0.7377
GraphSAGE+FairDrop,gender,0.0358,0.0206,0.0045,0.834
GraphSAGE+FairDrop,region,0.0425,0.0044,0.0012,0.6264
GraphSAGE+FairDrop,age_group,0.0328,0.0394,0.0078,0.8919
GraphSAGE+FairDrop,gender_x_age,0.0578,0.0608,0.0137,0.8567
GraphSAGE+FairDrop,gender_x_region,0.0734,0.0248,0.0054,0.742
FairGNN(λ=5.0),gender,0.0107,0.0063,0.0131,0.8691
FairGNN(λ=5.0),region,0.06,0.0213,0.0037,0.6868
FairGNN(λ=5.0),age_group,0.0706,0.0427,0.0161,0.8454
FairGNN(λ=5.0),gender_x_age,0.1223,0.0488,0.0563,0.8414
FairGNN(λ=5.0),gender_x_region,0.0805,0.0271,0.0329,0.7816
TabICL,gender,0.0443,0.0267,0.0038,0.8826
TabICL,region,0.047,0.0043,0.0023,0.626
TabICL,age_group,0.0367,0.0295,0.0072,0.9934
TabICL,gender_x_age,0.0612,0.0479,0.0114,0.9364
TabICL,gender_x_region,0.0858,0.0301,0.0064,0.7738
GraphSAGE+EOT@gender,gender,0.016,0.0043,0.0048,0.8182
GraphSAGE+EOT@gender,region,0.0443,0.0005,0.0012,0.6401
GraphSAGE+EOT@gender,age_group,0.0273,0.0412,0.0073,0.8935
GraphSAGE+EOT@gender,gender_x_age,0.0521,0.0523,0.0135,0.8479
GraphSAGE+EOT@gender,gender_x_region,0.0582,0.0079,0.0056,0.7335
TabICL+EOT@gender,gender,0.0087,0.0119,0.0038,0.8826
