model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
TabICL+EOT@gender,region,0.0427,0.0003,0.0023,0.626
TabICL+EOT@gender,age_group,0.0345,0.0239,0.0072,0.9934
TabICL+EOT@gender,gender_x_age,0.0587,0.0387,0.0114,0.9364
TabICL+EOT@gender,gender_x_region,0.0619,0.0236,0.0064,0.7738
GraphSAGE+EOT@age_group,gender,0.0423,0.0283,0.0048,0.8182
GraphSAGE+EOT@age_group,region,0.0353,0.0074,0.0012,0.6401
GraphSAGE+EOT@age_group,age_group,0.0606,0.0495,0.0073,0.8935
GraphSAGE+EOT@age_group,gender_x_age,0.0692,0.0722,0.0135,0.8479
GraphSAGE+EOT@age_group,gender_x_region,0.0738,0.0351,0.0056,0.7335
TabICL+EOT@age_group,gender,0.0484,0.0355,0.0038,0.8826
TabICL+EOT@age_group,region,0.0386,0.0016,0.0023,0.626
TabICL+EOT@age_group,age_group,0.0519,0.0399,0.0072,0.9934
TabICL+EOT@age_group,gender_x_age,0.0642,0.0702,0.0114,0.9364
TabICL+EOT@age_group,gender_x_region,0.0832,0.0362,0.0064,0.7738
GraphSAGE+EOT@region,gender,0.0389,0.0261,0.0048,0.8182
GraphSAGE+EOT@region,region,0.0516,0.0072,0.0012,0.6401
GraphSAGE+EOT@region,age_group,0.031,0.0428,0.0073,0.8935
GraphSAGE+EOT@region,gender_x_age,0.0547,0.067,0.0135,0.8479
GraphSAGE+EOT@region,gender_x_region,0.0844,0.0317,0.0056,0.7335
TabICL+EOT@region,gender,0.0436,0.0267,0.0038,0.8826
TabICL+EOT@region,region,0.044,0.0011,0.0023,0.626
TabICL+EOT@region,age_group,0.0364,0.0297,0.0072,0.9934
TabICL+EOT@region,gender_x_age,0.0603,0.0484,0.0114,0.9364
TabICL+EOT@region,gender_x_region,0.0816,0.0299,0.0064,0.7738
GraphSAGE+DPT@gender,gender,0.0041,0.0176,0.0048,0.8182
GraphSAGE+DPT@gender,region,0.043,0.0016,0.0012,0.6401
GraphSAGE+DPT@gender,age_group,0.0219,0.037,0.0073,0.8935
GraphSAGE+DPT@gender,gender_x_age,0.0673,0.0468,0.0135,0.8479
GraphSAGE+DPT@gender,gender_x_region,0.0617,0.0377,0.0056,0.7335
TabICL+DPT@gender,gender,0.0058,0.0279,0.0038,0.8826
TabICL+DPT@gender,region,0.04,0.0039,0.0023,0.626
TabICL+DPT@gender,age_group,0.0305,0.0271,0.0072,0.9934
TabICL+DPT@gender,gender_x_age,0.0652,0.052,0.0114,0.9364
TabICL+DPT@gender,gender_x_region,0.0585,0.0371,0.0064,0.7738
GraphSAGE+DPT@age_group,gender,0.0448,0.0313,0.0048,0.8182
GraphSAGE+DPT@age_group,region,0.0322,0.0121,0.0012,0.6401
GraphSAGE+DPT@age_group,age_group,0.069,0.0824,0.0073,0.8935
GraphSAGE+DPT@age_group,gender_x_age,0.0928,0.1069,0.0135,0.8479
GraphSAGE+DPT@age_group,gender_x_region,0.0727,0.0428,0.0056,0.7335
TabICL+DPT@age_group,gender,0.0487,0.0392,0.0038,0.8826
TabICL+DPT@age_group,region,0.0339,0.0067,0.0023,0.626
TabICL+DPT@age_group,age_group,0.0655,0.0937,0.0072,0.9934
TabICL+DPT@age_group,gender_x_age,0.0977,0.1245,0.0114,0.9364
TabICL+DPT@age_group,gender_x_region,0.0782,0.0437,0.0064,0.7738
GraphSAGE+DPT@region,gender,0.0387,0.0239,0.0048,0.8182
GraphSAGE+DPT@region,region,0.0108,0.0326,0.0012,0.6401
GraphSAGE+DPT@region,age_group,0.0327,0.048,0.0073,0.8935
GraphSAGE+DPT@region,gender_x_age,0.0548,0.0697,0.0135,0.8479
GraphSAGE+DPT@region,gender_x_region,0.0452,0.0538,0.0056,0.7335
TabICL+DPT@region,gender,0.041,0.0272,0.0038,0.8826
TabICL+DPT@region,region,0.0102,0.0385,0.0023,0.626
TabICL+DPT@region,age_group,0.0408,0.0222,0.0072,0.9934
TabICL+DPT@region,gender_x_age,0.0633,0.0428,0.0114,0.9364
TabICL+DPT@region,gender_x_region,0.0497,0.0634,0.0064,0.7738
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.0005,0.0107,0.0048,0.8182
GraphSAGE+DPT_composite@gender_age_group_region,region,0.0151,0.0315,0.0012,0.6401
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.068,0.0398,0.0073,0.8935
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.0739,0.0529,0.0135,0.8479
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.0244,0.045,0.0056,0.7335
TabICL+DPT_composite@gender_age_group_region,gender,0.0026,0.0231,0.0038,0.8826
TabICL+DPT_composite@gender_age_group_region,region,0.0152,0.031,0.0023,0.626
TabICL+DPT_composite@gender_age_group_region,age_group,0.044,0.0156,0.0072,0.9934
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.0567,0.0421,0.0114,0.9364
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0257,0.0564,0.0064,0.7738
GraphSAGE+INLP@gender,gender,0.0278,0.0163,0.0051,0.5633
GraphSAGE+INLP@gender,region,0.0385,0.0048,0.001,0.6401
GraphSAGE+INLP@gender,age_group,0.027,0.0432,0.0093,0.8881
GraphSAGE+INLP@gender,gender_x_age,0.0409,0.0608,0.0153,0.7924
GraphSAGE+INLP@gender,gender_x_region,0.06,0.0193,0.0064,0.5944
TabICL+INLP@gender,gender,0.0376,0.0218,0.0041,0.7205
TabICL+INLP@gender,region,0.0462,0.003,0.0015,0.6258
TabICL+INLP@gender,age_group,0.0294,0.0399,0.0067,0.9902
TabICL+INLP@gender,gender_x_age,0.0543,0.0529,0.0118,0.9006
TabICL+INLP@gender,gender_x_region,0.0767,0.0256,0.0059,0.6638
GraphSAGE+INLP@age_group,gender,0.045,0.0346,0.0058,0.7785
GraphSAGE+INLP@age_group,region,0.0461,0.0021,0.0011,0.6278
GraphSAGE+INLP@age_group,age_group,0.0205,0.0327,0.0091,0.5321
GraphSAGE+INLP@age_group,gender_x_age,0.0571,0.0657,0.0164,0.6529
GraphSAGE+INLP@age_group,gender_x_region,0.0856,0.037,0.0075,0.7056
TabICL+INLP@age_group,gender,0.0418,0.0229,0.0041,0.8617
TabICL+INLP@age_group,region,0.0399,0.0001,0.001,0.6181
TabICL+INLP@age_group,age_group,0.0355,0.0401,0.0066,0.536
TabICL+INLP@age_group,gender_x_age,0.0574,0.0548,0.0125,0.7324
TabICL+INLP@age_group,gender_x_region,0.0746,0.0259,0.0058,0.7619
GraphSAGE+INLP@region,gender,0.0307,0.0195,0.0055,0.8146
GraphSAGE+INLP@region,region,0.0403,0.0015,0.001,0.5236
GraphSAGE+INLP@region,age_group,0.0188,0.0476,0.0087,0.867
GraphSAGE+INLP@region,gender_x_age,0.0444,0.0634,0.0158,0.8323
GraphSAGE+INLP@region,gender_x_region,0.0651,0.0212,0.0068,0.7125
TabICL+INLP@region,gender,0.039,0.0212,0.0039,0.8823
TabICL+INLP@region,region,0.0406,0.0044,0.002,0.5534
TabICL+INLP@region,age_group,0.0416,0.028,0.0067,0.9909
TabICL+INLP@region,gender_x_age,0.0573,0.0423,0.0119,0.9351
TabICL+INLP@region,gender_x_region,0.0722,0.0252,0.0061,0.7611
GraphSAGE+INLP+DPT@gender,gender,0.005,0.0132,0.0051,0.5633
GraphSAGE+INLP+DPT@gender,region,0.0398,0.0029,0.001,0.6401
GraphSAGE+INLP+DPT@gender,age_group,0.0276,0.0425,0.0093,0.8881
GraphSAGE+INLP+DPT@gender,gender_x_age,0.0668,0.0544,0.0153,0.7924
GraphSAGE+INLP+DPT@gender,gender_x_region,0.058,0.0204,0.0064,0.5944
TabICL+INLP+DPT@gender,gender,0.0023,0.0244,0.0041,0.7205
TabICL+INLP+DPT@gender,region,0.0435,0.0001,0.0015,0.6258
TabICL+INLP+DPT@gender,age_group,0.0206,0.0409,0.0067,0.9902
TabICL+INLP+DPT@gender,gender_x_age,0.0525,0.0555,0.0118,0.9006
TabICL+INLP+DPT@gender,gender_x_region,0.0624,0.0348,0.0059,0.6638
GraphSAGE+INLP+DPT@age_group,gender,0.0549,0.043,0.0058,0.7785
GraphSAGE+INLP+DPT@age_group,region,0.0324,0.0113,0.0011,0.6278
GraphSAGE+INLP+DPT@age_group,age_group,0.0649,0.059,0.0091,0.5321
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.0923,0.0975,0.0164,0.6529
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.0824,0.053,0.0075,0.7056
TabICL+INLP+DPT@age_group,gender,0.0434,0.0316,0.0041,0.8617
TabICL+INLP+DPT@age_group,region,0.0346,0.0055,0.001,0.6181
TabICL+INLP+DPT@age_group,age_group,0.059,0.0797,0.0066,0.536
TabICL+INLP+DPT@age_group,gender_x_age,0.087,0.1052,0.0125,0.7324
TabICL+INLP+DPT@age_group,gender_x_region,0.0726,0.0353,0.0058,0.7619
GraphSAGE+INLP+DPT@region,gender,0.0303,0.0188,0.0055,0.8146
GraphSAGE+INLP+DPT@region,region,0.016,0.0243,0.001,0.5236
GraphSAGE+INLP+DPT@region,age_group,0.0236,0.0389,0.0087,0.867
GraphSAGE+INLP+DPT@region,gender_x_age,0.0436,0.0612,0.0158,0.8323
GraphSAGE+INLP+DPT@region,gender_x_region,0.0413,0.0415,0.0068,0.7125
TabICL+INLP+DPT@region,gender,0.0372,0.0203,0.0039,0.8823
TabICL+INLP+DPT@region,region,0.0091,0.0417,0.002,0.5534
TabICL+INLP+DPT@region,age_group,0.0404,0.032,0.0067,0.9909
TabICL+INLP+DPT@region,gender_x_age,0.0541,0.0454,0.0119,0.9351
TabICL+INLP+DPT@region,gender_x_region,0.0453,0.0615,0.0061,0.7611
GraphSAGE+INLP+DPT_composite,gender,0.0049,0.0224,0.0315,0.499
GraphSAGE+INLP+DPT_composite,region,0.0002,0.0329,0.0341,0.4973
GraphSAGE+INLP+DPT_composite,age_group,0.0129,0.0096,0.0234,0.5123
GraphSAGE+INLP+DPT_composite,gender_x_age,0.0259,0.0405,0.0603,0.5018
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0107,0.0508,0.0637,0.4947
TabICL+INLP+DPT_composite,gender,0.0026,0.0174,0.0047,0.5113
TabICL+INLP+DPT_composite,region,0.0205,0.0233,0.0045,0.5012
TabICL+INLP+DPT_composite,age_group,0.0132,0.0244,0.0189,0.5116
TabICL+INLP+DPT_composite,gender_x_age,0.0188,0.0605,0.0397,0.508
TabICL+INLP+DPT_composite,gender_x_region,0.0274,0.0392,0.0102,0.501
GraphSAGE+Reweighted@gender,gender,0.0355,0.0213,0.0047,0.8165
GraphSAGE+Reweighted@gender,region,0.0431,0.0017,0.0012,0.6405
GraphSAGE+Reweighted@gender,age_group,0.0341,0.0416,0.0073,0.8933
GraphSAGE+Reweighted@gender,gender_x_age,0.0503,0.0625,0.0134,0.8476
GraphSAGE+Reweighted@gender,gender_x_region,0.0731,0.0247,0.0055,0.7324
GraphSAGE+Reweighted@age_group,gender,0.0396,0.0229,0.0046,0.8217
GraphSAGE+Reweighted@age_group,region,0.0402,0.0026,0.0013,0.6395
GraphSAGE+Reweighted@age_group,age_group,0.0325,0.0391,0.0074,0.8879
GraphSAGE+Reweighted@age_group,gender_x_age,0.0578,0.0566,0.0135,0.8476
GraphSAGE+Reweighted@age_group,gender_x_region,0.0745,0.0262,0.0056,0.7363
GraphSAGE+Reweighted@region,gender,0.0383,0.0241,0.0048,0.819
GraphSAGE+Reweighted@region,region,0.0404,0.0037,0.0012,0.6382
GraphSAGE+Reweighted@region,age_group,0.0347,0.0421,0.0073,0.8919
GraphSAGE+Reweighted@region,gender_x_age,0.0534,0.0648,0.0135,0.8466
GraphSAGE+Reweighted@region,gender_x_region,0.0729,0.0284,0.0057,0.7331
