model,attribute,delta_dp_mean,delta_dp_std,delta_eo_mean,delta_eo_std,group_auc_gap_mean,group_auc_gap_std,leakage_auc_mean,leakage_auc_std
TabICL+EOT@gender,gender_x_age,0.0606,0.02174660893104945,0.043179999999999996,0.012093676033365537,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+EOT@gender,gender_x_region,0.05432,0.007865875666446805,0.01822,0.0076692242110920185,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+EOT@gender,region,0.040859999999999994,0.007961344107624039,0.0032799999999999995,0.0033259585084603805,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+EOT@region,age_group,0.0313,0.01942832983043061,0.03284,0.010563758800729973,0.00712,0.000554075807087803,0.99322,0.0008318653737234247
TabICL+EOT@region,gender,0.03696000000000001,0.00724762029910508,0.02232,0.010122598480627392,0.00392,0.00045497252664309306,0.885,0.0027883686987197126
TabICL+EOT@region,gender_x_age,0.061459999999999994,0.017442132897097187,0.05127999999999999,0.015874098399594225,0.01138,0.0006760177512462231,0.9370200000000001,0.0014906374475371462
TabICL+EOT@region,gender_x_region,0.07738,0.012422238123623294,0.028960000000000003,0.010943628283160938,0.0071,0.0019532024984624608,0.77518,0.0017311845655504144
TabICL+EOT@region,region,0.045599999999999995,0.008464927642927613,0.00446,0.0039106265482656355,0.0023,0.0012369316876852982,0.62102,0.0034032337562970427
TabICL+INLP+DPT@age_group,age_group,0.04348,0.017145320061171213,0.07518,0.009911458015852158,0.00804,0.0014518953130305226,0.53492,0.01198382242859099
TabICL+INLP+DPT@age_group,gender,0.040100000000000004,0.010587020355132974,0.027039999999999998,0.013608747187011742,0.00412,0.000511859355682789,0.8675599999999999,0.0055070863439753565
TabICL+INLP+DPT@age_group,gender_x_age,0.07642,0.01870352907875944,0.09714,0.016432528715934137,0.01376,0.001580506248010428,0.72516,0.0056114169333600725
TabICL+INLP+DPT@age_group,gender_x_region,0.07554000000000001,0.011284857110304943,0.03552,0.015905722240753484,0.00738,0.002320991167583367,0.76342,0.0018458060569843352
TabICL+INLP+DPT@age_group,region,0.040100000000000004,0.013041088911590167,0.007339999999999999,0.005043114117289039,0.00264,0.001467310464761974,0.61272,0.005507449500449382
TabICL+INLP+DPT@gender,age_group,0.02364,0.01156689240894027,0.039639999999999995,0.0053956463931580986,0.00736,0.0011545561917897284,0.99088,0.0010756393447620238
TabICL+INLP+DPT@gender,gender,0.00602,0.0050031989766548355,0.02676,0.009668919277768327,0.0043,0.0006892024376045109,0.73094,0.01611344159389916
TabICL+INLP+DPT@gender,gender_x_age,0.06172,0.018699385016625547,0.061939999999999995,0.008464514162076876,0.01244,0.0012759310326189261,0.90148,0.003282834141408884
TabICL+INLP+DPT@gender,gender_x_region,0.056620000000000004,0.013048831365298582,0.03314,0.011806481270895237,0.00746,0.0025314027731674783,0.6691,0.01085403150907532
TabICL+INLP+DPT@gender,region,0.0428,0.011444430960078354,0.00394,0.004224097536752673,0.0023,0.0014124446891825534,0.6208,0.0033309157899892436
TabICL+INLP+DPT@region,age_group,0.035820000000000005,0.01513132512372925,0.037219999999999996,0.007502466261170387,0.00776,0.0011928956366757317,0.9914799999999999,0.0008074651695274552
TabICL+INLP+DPT@region,gender,0.0339,0.00529150262212918,0.01804,0.006206287134833514,0.00394,0.00046151923036857315,0.88436,0.0029091235793620184
TabICL+INLP+DPT@region,gender_x_age,0.05902,0.012357871985095172,0.05347999999999999,0.01295962962433726,0.01258,0.0015658863304850706,0.9360799999999999,0.0015287249589117757
TabICL+INLP+DPT@region,gender_x_region,0.0477,0.006724209990772151,0.06146,0.01761215489370906,0.007639999999999999,0.00249559612117025,0.76364,0.002046460358765851
TabICL+INLP+DPT@region,region,0.01524,0.004684335598566781,0.041499999999999995,0.013502777492056956,0.00284,0.0015306861206661542,0.5493,0.009693812459502195
TabICL+INLP+DPT_composite,age_group,0.021660000000000002,0.007832177219649721,0.040600000000000004,0.016053504290341098,0.03218,0.008563702470310373,0.49968,0.013363270557763889
TabICL+INLP+DPT_composite,gender,0.00498,0.00426462190586692,0.012839999999999999,0.00761958004092089,0.00404,0.002656689669494727,0.50072,0.00898954948815566
TabICL+INLP+DPT_composite,gender_x_age,0.052180000000000004,0.024215738683756892,0.06414,0.012151872283726484,0.04942,0.007950911897386365,0.496,0.012170866854912197
TabICL+INLP+DPT_composite,gender_x_region,0.02756,0.009887011681999774,0.06817999999999999,0.01699314567700754,0.01804,0.006197015410663426,0.49822,0.00272891919997645
TabICL+INLP+DPT_composite,region,0.016620000000000003,0.00921015743622225,0.04492,0.017814797220288534,0.01104,0.003965854258542539,0.49745999999999996,0.00718282674161088
TabICL+INLP@age_group,age_group,0.0331,0.010987492889645026,0.03846,0.007527815088058424,0.00804,0.0014518953130305226,0.53492,0.01198382242859099
