model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
TabICL+DPT@gender,gender,0.0039,0.0221,0.0041,0.8819
TabICL+DPT@gender,region,0.0505,0.0027,0.0028,0.6208
TabICL+DPT@gender,age_group,0.052,0.0314,0.0071,0.9919
TabICL+DPT@gender,gender_x_age,0.1017,0.0472,0.0119,0.9392
TabICL+DPT@gender,gender_x_region,0.0591,0.0279,0.0085,0.7729
GraphSAGE+DPT@age_group,gender,0.0446,0.0279,0.0036,0.812
GraphSAGE+DPT@age_group,region,0.0489,0.0023,0.002,0.6411
GraphSAGE+DPT@age_group,age_group,0.0438,0.0736,0.0082,0.8908
GraphSAGE+DPT@age_group,gender_x_age,0.0732,0.1026,0.014,0.8538
GraphSAGE+DPT@age_group,gender_x_region,0.0886,0.031,0.0067,0.7273
TabICL+DPT@age_group,gender,0.0482,0.0355,0.0041,0.8819
TabICL+DPT@age_group,region,0.0418,0.002,0.0028,0.6208
TabICL+DPT@age_group,age_group,0.0568,0.0698,0.0071,0.9919
TabICL+DPT@age_group,gender_x_age,0.0809,0.0993,0.0119,0.9392
TabICL+DPT@age_group,gender_x_region,0.0871,0.0432,0.0085,0.7729
GraphSAGE+DPT@region,gender,0.0435,0.0235,0.0036,0.812
GraphSAGE+DPT@region,region,0.0246,0.0222,0.002,0.6411
GraphSAGE+DPT@region,age_group,0.0574,0.0382,0.0082,0.8908
GraphSAGE+DPT@region,gender_x_age,0.0863,0.0655,0.014,0.8538
GraphSAGE+DPT@region,gender_x_region,0.0662,0.05,0.0067,0.7273
TabICL+DPT@region,gender,0.039,0.025,0.0041,0.8819
TabICL+DPT@region,region,0.0172,0.0322,0.0028,0.6208
TabICL+DPT@region,age_group,0.0546,0.0334,0.0071,0.9919
TabICL+DPT@region,gender_x_age,0.081,0.0619,0.0119,0.9392
TabICL+DPT@region,gender_x_region,0.0537,0.061,0.0085,0.7729
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.0018,0.0117,0.0036,0.812
GraphSAGE+DPT_composite@gender_age_group_region,region,0.0276,0.0214,0.002,0.6411
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.0506,0.0172,0.0082,0.8908
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.0841,0.0363,0.014,0.8538
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.0587,0.0639,0.0067,0.7273
TabICL+DPT_composite@gender_age_group_region,gender,0.0004,0.0145,0.0041,0.8819
TabICL+DPT_composite@gender_age_group_region,region,0.0258,0.0215,0.0028,0.6208
TabICL+DPT_composite@gender_age_group_region,age_group,0.0588,0.0062,0.0071,0.9919
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.1028,0.0551,0.0119,0.9392
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0522,0.0645,0.0085,0.7729
GraphSAGE+INLP@gender,gender,0.0428,0.0243,0.004,0.5726
GraphSAGE+INLP@gender,region,0.048,0.0039,0.0017,0.6407
GraphSAGE+INLP@gender,age_group,0.0711,0.0395,0.0096,0.8894
GraphSAGE+INLP@gender,gender_x_age,0.0911,0.0724,0.0164,0.802
GraphSAGE+INLP@gender,gender_x_region,0.0888,0.0363,0.0065,0.5995
TabICL+INLP@gender,gender,0.0374,0.0227,0.0048,0.7115
TabICL+INLP@gender,region,0.0469,0.0009,0.0033,0.62
TabICL+INLP@gender,age_group,0.0472,0.0433,0.0078,0.9894
TabICL+INLP@gender,gender_x_age,0.0783,0.0705,0.0136,0.8999
TabICL+INLP@gender,gender_x_region,0.0806,0.026,0.0098,0.6562
GraphSAGE+INLP@age_group,gender,0.0412,0.0206,0.0041,0.7895
GraphSAGE+INLP@age_group,region,0.051,0.0076,0.0015,0.6175
GraphSAGE+INLP@age_group,age_group,0.0587,0.0261,0.0086,0.5263
GraphSAGE+INLP@age_group,gender_x_age,0.0961,0.0501,0.0157,0.6596
GraphSAGE+INLP@age_group,gender_x_region,0.0899,0.03,0.0067,0.707
TabICL+INLP@age_group,gender,0.0403,0.0237,0.0041,0.8691
TabICL+INLP@age_group,region,0.0581,0.0067,0.0034,0.6105
TabICL+INLP@age_group,age_group,0.0499,0.0363,0.0082,0.5376
TabICL+INLP@age_group,gender_x_age,0.0837,0.0532,0.014,0.7224
TabICL+INLP@age_group,gender_x_region,0.0939,0.0343,0.0091,0.7612
GraphSAGE+INLP@region,gender,0.0395,0.024,0.0037,0.8038
GraphSAGE+INLP@region,region,0.0487,0.0035,0.0017,0.5237
GraphSAGE+INLP@region,age_group,0.0645,0.0365,0.0093,0.8803
GraphSAGE+INLP@region,gender_x_age,0.0904,0.0696,0.0162,0.8439
GraphSAGE+INLP@region,gender_x_region,0.0872,0.0383,0.0062,0.7033
TabICL+INLP@region,gender,0.0399,0.0259,0.0039,0.8808
TabICL+INLP@region,region,0.0525,0.0056,0.0033,0.5574
TabICL+INLP@region,age_group,0.0547,0.0392,0.008,0.9908
TabICL+INLP@region,gender_x_age,0.0788,0.0764,0.0134,0.938
TabICL+INLP@region,gender_x_region,0.0876,0.0375,0.0089,0.7625
GraphSAGE+INLP+DPT@gender,gender,0.0032,0.0078,0.004,0.5726
GraphSAGE+INLP+DPT@gender,region,0.0459,0.0014,0.0017,0.6407
GraphSAGE+INLP+DPT@gender,age_group,0.0585,0.0306,0.0096,0.8894
GraphSAGE+INLP+DPT@gender,gender_x_age,0.1017,0.0468,0.0164,0.802
GraphSAGE+INLP+DPT@gender,gender_x_region,0.0521,0.0119,0.0065,0.5995
TabICL+INLP+DPT@gender,gender,0.0019,0.0197,0.0048,0.7115
TabICL+INLP+DPT@gender,region,0.0534,0.0039,0.0033,0.62
TabICL+INLP+DPT@gender,age_group,0.041,0.0404,0.0078,0.9894
TabICL+INLP+DPT@gender,gender_x_age,0.0894,0.0582,0.0136,0.8999
TabICL+INLP+DPT@gender,gender_x_region,0.0626,0.0259,0.0098,0.6562
GraphSAGE+INLP+DPT@age_group,gender,0.0427,0.0285,0.0041,0.7895
GraphSAGE+INLP+DPT@age_group,region,0.0443,0.0004,0.0015,0.6175
GraphSAGE+INLP+DPT@age_group,age_group,0.0459,0.0633,0.0086,0.5263
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.0727,0.0922,0.0157,0.6596
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.0838,0.0346,0.0067,0.707
TabICL+INLP+DPT@age_group,gender,0.0464,0.0361,0.0041,0.8691
TabICL+INLP+DPT@age_group,region,0.0478,0.0023,0.0034,0.6105
TabICL+INLP+DPT@age_group,age_group,0.0397,0.0706,0.0082,0.5376
TabICL+INLP+DPT@age_group,gender_x_age,0.0704,0.0966,0.014,0.7224
TabICL+INLP+DPT@age_group,gender_x_region,0.0896,0.0421,0.0091,0.7612
GraphSAGE+INLP+DPT@region,gender,0.0416,0.0215,0.0037,0.8038
GraphSAGE+INLP+DPT@region,region,0.02,0.0219,0.0017,0.5237
GraphSAGE+INLP+DPT@region,age_group,0.0696,0.035,0.0093,0.8803
GraphSAGE+INLP+DPT@region,gender_x_age,0.096,0.061,0.0162,0.8439
GraphSAGE+INLP+DPT@region,gender_x_region,0.0621,0.0486,0.0062,0.7033
TabICL+INLP+DPT@region,gender,0.0389,0.0234,0.0039,0.8808
TabICL+INLP+DPT@region,region,0.02,0.0264,0.0033,0.5574
TabICL+INLP+DPT@region,age_group,0.0579,0.0387,0.008,0.9908
TabICL+INLP+DPT@region,gender_x_age,0.0786,0.0682,0.0134,0.938
TabICL+INLP+DPT@region,gender_x_region,0.0582,0.0548,0.0089,0.7625
GraphSAGE+INLP+DPT_composite,gender,0.009,0.0248,0.0085,0.4996
GraphSAGE+INLP+DPT_composite,region,0.0122,0.0343,0.0103,0.4959
GraphSAGE+INLP+DPT_composite,age_group,0.0304,0.0161,0.0324,0.5049
GraphSAGE+INLP+DPT_composite,gender_x_age,0.0534,0.0371,0.0532,0.4983
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0405,0.0687,0.0388,0.4983
TabICL+INLP+DPT_composite,gender,0.0109,0.0023,0.0014,0.5059
TabICL+INLP+DPT_composite,region,0.0221,0.0376,0.0141,0.495
TabICL+INLP+DPT_composite,age_group,0.0196,0.0435,0.0308,0.479
TabICL+INLP+DPT_composite,gender_x_age,0.0556,0.0643,0.0447,0.4995
TabICL+INLP+DPT_composite,gender_x_region,0.0423,0.0725,0.0193,0.4951
GraphSAGE+Reweighted@gender,gender,0.0385,0.0194,0.0036,0.8113
GraphSAGE+Reweighted@gender,region,0.0543,0.0045,0.002,0.6404
GraphSAGE+Reweighted@gender,age_group,0.0519,0.0394,0.0082,0.8909
GraphSAGE+Reweighted@gender,gender_x_age,0.0821,0.0642,0.014,0.8537
GraphSAGE+Reweighted@gender,gender_x_region,0.0906,0.029,0.0067,0.7277
GraphSAGE+Reweighted@age_group,gender,0.0426,0.0209,0.0035,0.8174
GraphSAGE+Reweighted@age_group,region,0.0516,0.0023,0.0021,0.6431
GraphSAGE+Reweighted@age_group,age_group,0.0582,0.0341,0.0088,0.8837
GraphSAGE+Reweighted@age_group,gender_x_age,0.0954,0.0601,0.0145,0.8497
GraphSAGE+Reweighted@age_group,gender_x_region,0.0917,0.0311,0.0068,0.7318
GraphSAGE+Reweighted@region,gender,0.0415,0.0212,0.0035,0.812
GraphSAGE+Reweighted@region,region,0.0519,0.0012,0.002,0.6396
GraphSAGE+Reweighted@region,age_group,0.0577,0.0362,0.0081,0.8897
GraphSAGE+Reweighted@region,gender_x_age,0.087,0.0615,0.0139,0.8529
GraphSAGE+Reweighted@region,gender_x_region,0.0901,0.03,0.0066,0.7268
