model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE+EOT@region,region,0.0533,0.0095,0.0001,0.6512
GraphSAGE+EOT@region,age_group,0.0213,0.0413,0.0071,0.9017
GraphSAGE+EOT@region,gender_x_age,0.0453,0.0545,0.0124,0.8607
GraphSAGE+EOT@region,gender_x_region,0.0853,0.0209,0.0041,0.7401
TabICL+EOT@region,gender,0.0248,0.0058,0.0032,0.885
TabICL+EOT@region,region,0.0474,0.0038,0.0002,0.6207
TabICL+EOT@region,age_group,0.007,0.0254,0.0067,0.9938
TabICL+EOT@region,gender_x_age,0.043,0.0325,0.0104,0.9363
TabICL+EOT@region,gender_x_region,0.0676,0.0142,0.004,0.7765
GraphSAGE+DPT@gender,gender,0.0135,0.0322,0.0031,0.8232
GraphSAGE+DPT@gender,region,0.0461,0.0009,0.0001,0.6512
GraphSAGE+DPT@gender,age_group,0.0173,0.0362,0.0071,0.9017
GraphSAGE+DPT@gender,gender_x_age,0.0402,0.0663,0.0124,0.8607
GraphSAGE+DPT@gender,gender_x_region,0.0619,0.0409,0.0041,0.7401
TabICL+DPT@gender,gender,0.014,0.036,0.0032,0.885
TabICL+DPT@gender,region,0.0478,0.0011,0.0002,0.6207
TabICL+DPT@gender,age_group,0.0087,0.0246,0.0067,0.9938
TabICL+DPT@gender,gender_x_age,0.0443,0.0484,0.0104,0.9363
TabICL+DPT@gender,gender_x_region,0.0662,0.0449,0.004,0.7765
GraphSAGE+DPT@age_group,gender,0.0254,0.0079,0.0031,0.8232
GraphSAGE+DPT@age_group,region,0.0541,0.0015,0.0001,0.6512
GraphSAGE+DPT@age_group,age_group,0.0482,0.0702,0.0071,0.9017
GraphSAGE+DPT@age_group,gender_x_age,0.0785,0.0818,0.0124,0.8607
GraphSAGE+DPT@age_group,gender_x_region,0.0765,0.0099,0.0041,0.7401
TabICL+DPT@age_group,gender,0.0288,0.009,0.0032,0.885
TabICL+DPT@age_group,region,0.0515,0.0052,0.0002,0.6207
TabICL+DPT@age_group,age_group,0.0282,0.0734,0.0067,0.9938
TabICL+DPT@age_group,gender_x_age,0.0588,0.0855,0.0104,0.9363
TabICL+DPT@age_group,gender_x_region,0.0765,0.0132,0.004,0.7765
GraphSAGE+DPT@region,gender,0.0284,0.0074,0.0031,0.8232
GraphSAGE+DPT@region,region,0.0091,0.0344,0.0001,0.6512
GraphSAGE+DPT@region,age_group,0.0239,0.0332,0.0071,0.9017
GraphSAGE+DPT@region,gender_x_age,0.0458,0.0402,0.0124,0.8607
GraphSAGE+DPT@region,gender_x_region,0.036,0.0412,0.0041,0.7401
TabICL+DPT@region,gender,0.0257,0.0086,0.0032,0.885
TabICL+DPT@region,region,0.0155,0.0332,0.0002,0.6207
TabICL+DPT@region,age_group,0.0104,0.0202,0.0067,0.9938
TabICL+DPT@region,gender_x_age,0.0469,0.0361,0.0104,0.9363
TabICL+DPT@region,gender_x_region,0.0395,0.0402,0.004,0.7765
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.0161,0.0309,0.0031,0.8232
GraphSAGE+DPT_composite@gender_age_group_region,region,0.0136,0.0346,0.0001,0.6512
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.0271,0.0563,0.0071,0.9017
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.0524,0.0898,0.0124,0.8607
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.028,0.0657,0.0041,0.7401
TabICL+DPT_composite@gender_age_group_region,gender,0.0153,0.0349,0.0032,0.885
TabICL+DPT_composite@gender_age_group_region,region,0.0172,0.031,0.0002,0.6207
TabICL+DPT_composite@gender_age_group_region,age_group,0.0218,0.0563,0.0067,0.9938
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.0519,0.0907,0.0104,0.9363
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0285,0.0626,0.004,0.7765
GraphSAGE+INLP@gender,gender,0.0284,0.0044,0.0028,0.565
GraphSAGE+INLP@gender,region,0.0474,0.001,0.0008,0.6511
GraphSAGE+INLP@gender,age_group,0.0186,0.0256,0.0071,0.8997
GraphSAGE+INLP@gender,gender_x_age,0.0429,0.0408,0.0114,0.8057
GraphSAGE+INLP@gender,gender_x_region,0.0738,0.0061,0.0039,0.6035
TabICL+INLP@gender,gender,0.0232,0.0035,0.0032,0.7428
TabICL+INLP@gender,region,0.0526,0.007,0.0002,0.6205
TabICL+INLP@gender,age_group,0.0084,0.0322,0.0065,0.9921
TabICL+INLP@gender,gender_x_age,0.0379,0.0348,0.0106,0.9038
TabICL+INLP@gender,gender_x_region,0.0724,0.0107,0.0038,0.6794
GraphSAGE+INLP@age_group,gender,0.0299,0.007,0.0032,0.7981
GraphSAGE+INLP@age_group,region,0.0512,0.0039,0.0008,0.6299
GraphSAGE+INLP@age_group,age_group,0.0151,0.0198,0.0072,0.5233
GraphSAGE+INLP@age_group,gender_x_age,0.0441,0.0288,0.0124,0.6625
GraphSAGE+INLP@age_group,gender_x_region,0.0784,0.0103,0.0042,0.719
TabICL+INLP@age_group,gender,0.0305,0.0068,0.0033,0.8623
TabICL+INLP@age_group,region,0.0507,0.0014,0.0011,0.6149
TabICL+INLP@age_group,age_group,0.0212,0.0307,0.0072,0.5386
TabICL+INLP@age_group,gender_x_age,0.0524,0.0436,0.0121,0.7264
TabICL+INLP@age_group,gender_x_region,0.0785,0.0091,0.0041,0.7639
GraphSAGE+INLP@region,gender,0.0306,0.0082,0.003,0.8205
GraphSAGE+INLP@region,region,0.0494,0.0019,0.0006,0.5242
GraphSAGE+INLP@region,age_group,0.0195,0.0213,0.0071,0.8795
GraphSAGE+INLP@region,gender_x_age,0.0444,0.035,0.0116,0.8446
GraphSAGE+INLP@region,gender_x_region,0.0783,0.0095,0.0039,0.7174
TabICL+INLP@region,gender,0.0274,0.0093,0.0033,0.8847
TabICL+INLP@region,region,0.0415,0.0042,0.0006,0.5549
TabICL+INLP@region,age_group,0.019,0.0295,0.0067,0.9927
TabICL+INLP@region,gender_x_age,0.046,0.0358,0.0102,0.9354
TabICL+INLP@region,gender_x_region,0.0671,0.0129,0.004,0.7661
GraphSAGE+INLP+DPT@gender,gender,0.0103,0.0264,0.0028,0.565
GraphSAGE+INLP+DPT@gender,region,0.0499,0.0047,0.0008,0.6511
GraphSAGE+INLP+DPT@gender,age_group,0.0141,0.0279,0.0071,0.8997
GraphSAGE+INLP+DPT@gender,gender_x_age,0.0395,0.0529,0.0114,0.8057
GraphSAGE+INLP+DPT@gender,gender_x_region,0.0625,0.0311,0.0039,0.6035
TabICL+INLP+DPT@gender,gender,0.0139,0.0423,0.0032,0.7428
TabICL+INLP+DPT@gender,region,0.0547,0.0106,0.0002,0.6205
TabICL+INLP+DPT@gender,age_group,0.0094,0.0395,0.0065,0.9921
TabICL+INLP+DPT@gender,gender_x_age,0.0393,0.0724,0.0106,0.9038
TabICL+INLP+DPT@gender,gender_x_region,0.0718,0.0526,0.0038,0.6794
GraphSAGE+INLP+DPT@age_group,gender,0.0305,0.0129,0.0032,0.7981
GraphSAGE+INLP+DPT@age_group,region,0.0533,0.0097,0.0008,0.6299
GraphSAGE+INLP+DPT@age_group,age_group,0.0366,0.062,0.0072,0.5233
GraphSAGE+INLP+DPT@age_group,gender_x_age,0.057,0.0763,0.0124,0.6625
GraphSAGE+INLP+DPT@age_group,gender_x_region,0.0821,0.0223,0.0042,0.719
TabICL+INLP+DPT@age_group,gender,0.0261,0.0095,0.0033,0.8623
TabICL+INLP+DPT@age_group,region,0.0581,0.0108,0.0011,0.6149
TabICL+INLP+DPT@age_group,age_group,0.0387,0.0824,0.0072,0.5386
TabICL+INLP+DPT@age_group,gender_x_age,0.0606,0.0986,0.0121,0.7264
TabICL+INLP+DPT@age_group,gender_x_region,0.0815,0.0186,0.0041,0.7639
GraphSAGE+INLP+DPT@region,gender,0.0283,0.0085,0.003,0.8205
GraphSAGE+INLP+DPT@region,region,0.0034,0.0316,0.0006,0.5242
GraphSAGE+INLP+DPT@region,age_group,0.021,0.0214,0.0071,0.8795
GraphSAGE+INLP+DPT@region,gender_x_age,0.0402,0.0287,0.0116,0.8446
GraphSAGE+INLP+DPT@region,gender_x_region,0.0302,0.0398,0.0039,0.7174
TabICL+INLP+DPT@region,gender,0.0256,0.0073,0.0033,0.8847
TabICL+INLP+DPT@region,region,0.0174,0.0298,0.0006,0.5549
TabICL+INLP+DPT@region,age_group,0.0173,0.0313,0.0067,0.9927
TabICL+INLP+DPT@region,gender_x_age,0.0455,0.0386,0.0102,0.9354
TabICL+INLP+DPT@region,gender_x_region,0.0417,0.0356,0.004,0.7661
GraphSAGE+INLP+DPT_composite,gender,0.006,0.0087,0.004,0.4928
GraphSAGE+INLP+DPT_composite,region,0.0028,0.0232,0.0032,0.4993
GraphSAGE+INLP+DPT_composite,age_group,0.0075,0.072,0.1039,0.4984
GraphSAGE+INLP+DPT_composite,gender_x_age,0.0387,0.0795,0.1292,0.5063
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0245,0.034,0.0195,0.4984
TabICL+INLP+DPT_composite,gender,0.0081,0.0219,0.0031,0.4913
TabICL+INLP+DPT_composite,region,0.0089,0.0494,0.0101,0.4861
TabICL+INLP+DPT_composite,age_group,0.0215,0.0664,0.0362,0.4999
TabICL+INLP+DPT_composite,gender_x_age,0.0384,0.0847,0.0548,0.5059
TabICL+INLP+DPT_composite,gender_x_region,0.0166,0.0707,0.0136,0.4961
GraphSAGE+Reweighted@gender,gender,0.0288,0.0095,0.0032,0.8228
GraphSAGE+Reweighted@gender,region,0.0467,0.0055,0.0002,0.6492
GraphSAGE+Reweighted@gender,age_group,0.02,0.0314,0.0072,0.9011
GraphSAGE+Reweighted@gender,gender_x_age,0.0451,0.0402,0.0126,0.8607
GraphSAGE+Reweighted@gender,gender_x_region,0.0742,0.0144,0.0042,0.7392
GraphSAGE+Reweighted@age_group,gender,0.0308,0.0127,0.0033,0.824
GraphSAGE+Reweighted@age_group,region,0.0451,0.0042,0.0003,0.6478
GraphSAGE+Reweighted@age_group,age_group,0.0171,0.0311,0.0076,0.8967
GraphSAGE+Reweighted@age_group,gender_x_age,0.0451,0.042,0.0128,0.8575
GraphSAGE+Reweighted@age_group,gender_x_region,0.0751,0.0163,0.0043,0.7396
GraphSAGE+Reweighted@region,gender,0.0323,0.0114,0.0032,0.8235
GraphSAGE+Reweighted@region,region,0.0454,0.003,0.0002,0.6512
GraphSAGE+Reweighted@region,age_group,0.0212,0.0354,0.0071,0.902
GraphSAGE+Reweighted@region,gender_x_age,0.0452,0.0485,0.0123,0.861
GraphSAGE+Reweighted@region,gender_x_region,0.0762,0.0136,0.0041,0.7406
