model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE,gender,0.0329,0.0117,0.0031,0.8232
GraphSAGE,region,0.0486,0.006,0.0001,0.6512
GraphSAGE,age_group,0.0219,0.0384,0.0071,0.9017
GraphSAGE,gender_x_age,0.0458,0.0549,0.0124,0.8607
GraphSAGE,gender_x_region,0.0802,0.0174,0.0041,0.7401
GraphSAGE+Resampling,gender,0.033,0.0117,0.0031,0.8236
GraphSAGE+Resampling,region,0.0476,0.0055,0.0002,0.6511
GraphSAGE+Resampling,age_group,0.0208,0.0379,0.0071,0.9015
GraphSAGE+Resampling,gender_x_age,0.0455,0.0545,0.0123,0.8608
GraphSAGE+Resampling,gender_x_region,0.0793,0.0169,0.0041,0.7403
GraphSAGE+FairDrop,gender,0.0296,0.0114,0.0038,0.8357
GraphSAGE+FairDrop,region,0.0491,0.0044,0.0,0.6297
GraphSAGE+FairDrop,age_group,0.0221,0.03,0.0066,0.9029
GraphSAGE+FairDrop,gender_x_age,0.0476,0.0393,0.012,0.8648
GraphSAGE+FairDrop,gender_x_region,0.0746,0.0149,0.0042,0.7424
FairGNN(λ=5.0),gender,0.0084,0.0027,0.0092,0.8748
FairGNN(λ=5.0),region,0.0533,0.0035,0.0043,0.6719
FairGNN(λ=5.0),age_group,0.0417,0.024,0.0166,0.8259
FairGNN(λ=5.0),gender_x_age,0.0764,0.0322,0.0428,0.8279
FairGNN(λ=5.0),gender_x_region,0.0604,0.0069,0.0167,0.7825
TabICL,gender,0.0247,0.0054,0.0032,0.885
TabICL,region,0.0477,0.0043,0.0002,0.6207
TabICL,age_group,0.007,0.0252,0.0067,0.9938
TabICL,gender_x_age,0.043,0.0321,0.0104,0.9363
TabICL,gender_x_region,0.0676,0.0152,0.004,0.7765
GraphSAGE+EOT@gender,gender,0.0028,0.0144,0.0031,0.8232
GraphSAGE+EOT@gender,region,0.0454,0.001,0.0001,0.6512
GraphSAGE+EOT@gender,age_group,0.0185,0.032,0.0071,0.9017
GraphSAGE+EOT@gender,gender_x_age,0.0386,0.0511,0.0124,0.8607
GraphSAGE+EOT@gender,gender_x_region,0.0518,0.0257,0.0041,0.7401
TabICL+EOT@gender,gender,0.0014,0.0188,0.0032,0.885
TabICL+EOT@gender,region,0.0472,0.0017,0.0002,0.6207
TabICL+EOT@gender,age_group,0.0072,0.0275,0.0067,0.9938
TabICL+EOT@gender,gender_x_age,0.0328,0.0409,0.0104,0.9363
TabICL+EOT@gender,gender_x_region,0.0578,0.0287,0.004,0.7765
GraphSAGE+EOT@age_group,gender,0.0259,0.0043,0.0031,0.8232
GraphSAGE+EOT@age_group,region,0.0453,0.0019,0.0001,0.6512
GraphSAGE+EOT@age_group,age_group,0.0053,0.0266,0.0071,0.9017
GraphSAGE+EOT@age_group,gender_x_age,0.0425,0.0375,0.0124,0.8607
GraphSAGE+EOT@age_group,gender_x_region,0.0682,0.0096,0.0041,0.7401
TabICL+EOT@age_group,gender,0.0286,0.01,0.0032,0.885
TabICL+EOT@age_group,region,0.0475,0.0032,0.0002,0.6207
TabICL+EOT@age_group,age_group,0.0116,0.0196,0.0067,0.9938
TabICL+EOT@age_group,gender_x_age,0.0506,0.0291,0.0104,0.9363
TabICL+EOT@age_group,gender_x_region,0.0716,0.0148,0.004,0.7765
GraphSAGE+EOT@region,gender,0.0332,0.0117,0.0031,0.8232
