edge_drop_rate,axis,n_minority_test,f1_minority,f1_majority,f1_gap,f1_global,acc_global
0.0,hungarian,454,0.7660178737869401,0.9395158158918808,0.17349794210494074,0.9382251249419122,0.9383355866005708
0.0,roma,54,0.865,0.9381047356755827,0.07310473567558273,0.9382251249419122,0.9383355866005708
0.1,hungarian,454,0.7759745600087724,0.9392793808602091,0.16330482085143672,0.9381486975636795,0.9382604776926543
0.1,roma,54,0.7708628005657708,0.9381030113045671,0.16724021073879625,0.9381486975636795,0.9382604776926543
0.2,hungarian,454,0.7924503657262278,0.9387357081745353,0.1462853424483075,0.9378493028230324,0.9379600420609885
0.2,roma,54,0.7708628005657708,0.9378024389023255,0.16693963833655467,0.9378493028230324,0.9379600420609885
0.3,hungarian,454,0.7988697634715334,0.9384177227990016,0.13954795932746822,0.9376199790936361,0.937734715337239
0.3,roma,54,0.7708628005657708,0.9375717871781577,0.16670898661238687,0.9376199790936361,0.937734715337239
