model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE+DPT@region,gender,0.0351,0.0202,0.0039,0.8124
GraphSAGE+DPT@region,region,0.0118,0.0333,0.0002,0.6391
GraphSAGE+DPT@region,age_group,0.0259,0.0279,0.008,0.8922
GraphSAGE+DPT@region,gender_x_age,0.068,0.0455,0.0116,0.8477
GraphSAGE+DPT@region,gender_x_region,0.0478,0.0578,0.0058,0.7291
TabICL+DPT@region,gender,0.0364,0.026,0.005,0.8863
TabICL+DPT@region,region,0.0121,0.0386,0.0,0.6023
TabICL+DPT@region,age_group,0.0245,0.0231,0.0072,0.9938
TabICL+DPT@region,gender_x_age,0.0657,0.0416,0.0108,0.9365
TabICL+DPT@region,gender_x_region,0.0479,0.068,0.0069,0.7698
GraphSAGE+DPT_composite@gender_age_group_region,gender,0.0068,0.0047,0.0039,0.8124
GraphSAGE+DPT_composite@gender_age_group_region,region,0.0102,0.0392,0.0002,0.6391
GraphSAGE+DPT_composite@gender_age_group_region,age_group,0.0122,0.0462,0.008,0.8922
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_age,0.0525,0.0685,0.0116,0.8477
GraphSAGE+DPT_composite@gender_age_group_region,gender_x_region,0.0167,0.0541,0.0058,0.7291
TabICL+DPT_composite@gender_age_group_region,gender,0.0077,0.002,0.005,0.8863
TabICL+DPT_composite@gender_age_group_region,region,0.0111,0.04,0.0,0.6023
TabICL+DPT_composite@gender_age_group_region,age_group,0.014,0.0521,0.0072,0.9938
TabICL+DPT_composite@gender_age_group_region,gender_x_age,0.0698,0.0712,0.0108,0.9365
TabICL+DPT_composite@gender_age_group_region,gender_x_region,0.0182,0.0527,0.0069,0.7698
GraphSAGE+INLP@gender,gender,0.0328,0.0172,0.0042,0.5775
GraphSAGE+INLP@gender,region,0.0235,0.0008,0.0004,0.6387
GraphSAGE+INLP@gender,age_group,0.0296,0.0298,0.0091,0.8908
GraphSAGE+INLP@gender,gender_x_age,0.061,0.0494,0.0138,0.795
GraphSAGE+INLP@gender,gender_x_region,0.0566,0.0343,0.0064,0.6024
TabICL+INLP@gender,gender,0.0301,0.0141,0.0052,0.7112
TabICL+INLP@gender,region,0.0288,0.0042,0.0,0.6029
TabICL+INLP@gender,age_group,0.0239,0.019,0.0079,0.9924
TabICL+INLP@gender,gender_x_age,0.0565,0.0332,0.0119,0.8936
TabICL+INLP@gender,gender_x_region,0.057,0.0229,0.0064,0.6502
GraphSAGE+INLP@age_group,gender,0.0332,0.0175,0.0044,0.7979
GraphSAGE+INLP@age_group,region,0.0235,0.0009,0.0003,0.6281
GraphSAGE+INLP@age_group,age_group,0.0229,0.0313,0.0099,0.5171
GraphSAGE+INLP@age_group,gender_x_age,0.0621,0.0413,0.0141,0.6564
GraphSAGE+INLP@age_group,gender_x_region,0.0572,0.0384,0.0072,0.7166
TabICL+INLP@age_group,gender,0.0371,0.0158,0.0037,0.8729
TabICL+INLP@age_group,region,0.0215,0.0031,0.0002,0.595
TabICL+INLP@age_group,age_group,0.0288,0.0186,0.009,0.5709
TabICL+INLP@age_group,gender_x_age,0.0656,0.0325,0.0118,0.7364
TabICL+INLP@age_group,gender_x_region,0.0571,0.0311,0.0054,0.7587
GraphSAGE+INLP@region,gender,0.031,0.0124,0.0041,0.809
GraphSAGE+INLP@region,region,0.0225,0.0017,0.0002,0.5135
GraphSAGE+INLP@region,age_group,0.032,0.0298,0.0087,0.8884
GraphSAGE+INLP@region,gender_x_age,0.0661,0.0396,0.013,0.8433
GraphSAGE+INLP@region,gender_x_region,0.054,0.0319,0.0063,0.7069
TabICL+INLP@region,gender,0.0351,0.0184,0.0048,0.884
TabICL+INLP@region,region,0.0263,0.0032,0.0001,0.5322
TabICL+INLP@region,age_group,0.0157,0.0326,0.008,0.9927
TabICL+INLP@region,gender_x_age,0.0541,0.045,0.0115,0.9352
TabICL+INLP@region,gender_x_region,0.0593,0.0237,0.0063,0.7591
GraphSAGE+TempCal,gender,0.0343,0.019,0.0039,0.8124
GraphSAGE+TempCal,region,0.0205,0.002,0.0002,0.6391
GraphSAGE+TempCal,age_group,0.0302,0.0272,0.008,0.8922
GraphSAGE+TempCal,gender_x_age,0.0675,0.0431,0.0116,0.8477
GraphSAGE+TempCal,gender_x_region,0.0553,0.0368,0.0058,0.7291
GraphSAGE+TempCal+DPT@gender,gender,0.0032,0.0112,0.0039,0.8124
GraphSAGE+TempCal+DPT@gender,region,0.0246,0.0016,0.0002,0.6391
GraphSAGE+TempCal+DPT@gender,age_group,0.0163,0.0361,0.008,0.8922
GraphSAGE+TempCal+DPT@gender,gender_x_age,0.0347,0.0449,0.0116,0.8477
GraphSAGE+TempCal+DPT@gender,gender_x_region,0.0276,0.0229,0.0058,0.7291
GraphSAGE+INLP+DPT@gender,gender,0.0042,0.0076,0.0042,0.5775
GraphSAGE+INLP+DPT@gender,region,0.0238,0.0027,0.0004,0.6387
